City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
364,Naze,JP,77.0,few clouds,28.37,129.48,奄美ポートタワーホテル
373,Dingle,PH,77.58,moderate rain,11.0,122.67,SEGAYA PROPERTY
374,Makakilo City,US,86.0,few clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
385,Ternate,ID,82.63,light rain,0.8,127.4,Grand Dafam Bela Ternate
390,Kahului,US,87.8,scattered clouds,20.89,-156.47,Maui Seaside Hotel
392,Hervey Bay,AU,79.0,broken clouds,-25.3,152.85,Shelly Bay Resort
394,Kilindoni,TZ,79.75,overcast clouds,-7.91,39.67,Bustani B&B
401,Jimenez,MX,78.8,scattered clouds,28.33,-105.4,Hacienda Las Marias
402,Marawi,PH,75.99,light rain,8.0,124.29,Derogongan Residence
404,Kirakira,SB,83.68,light rain,-10.45,161.92,SanBiz Lodge
417,Coahuayana,MX,86.0,few clouds,18.73,-103.68,Hotel Los Arcos
419,Alyangula,AU,84.2,clear sky,-13.85,136.42,Groote Eylandt Lodge
421,Crestview,US,77.0,clear sky,30.76,-86.57,Holiday Inn Express & Suites Crestview South I-10
426,Manga,BF,81.39,scattered clouds,11.66,-1.07,Auberge Somkieta
430,Camocim,BR,81.34,scattered clouds,-2.9,-40.84,Hotel Ilha do Amor
448,Cabedelo,BR,78.8,scattered clouds,-6.98,-34.83,Lua Mansa Pousada
451,Dakar,SN,80.6,clear sky,14.69,-17.44,Novotel Dakar
454,Nabire,ID,80.78,overcast clouds,-3.37,135.48,Hotel Nusantara Nabire
456,La Asuncion,VE,79.86,clear sky,11.03,-63.86,Colinas de Matasiete
459,Majene,ID,80.31,broken clouds,-3.54,118.97,Kost Putri RABBANI
461,Santarem,BR,80.6,thunderstorm,-2.44,-54.71,Hotel Imperador
465,Atambua,ID,80.73,clear sky,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
470,Nhulunbuy,AU,86.0,clear sky,-12.23,136.77,East Arnhem Real Estate
481,Aripuana,BR,81.66,overcast clouds,-9.17,-60.63,
487,Ferkessedougou,CI,79.32,broken clouds,9.6,-5.2,Hotel Chateau
490,Manicore,BR,78.28,broken clouds,-5.81,-61.3,Pousada da wanda
